"INTRODUCTION.
"	Narrator
"When, more than three years ago, my talented young parishioner, Mr.
Biglow, came to me and submitted to my animadversions the first of his
poems which he intended to commit to the more hazardous trial of a city
newspaper, it never so much as entered my imagination to conceive that
his productions would ever be gathered into a fair volume, and ushered
into the august presence of the reading public by myself. So little are
we short-sighted mortals able to predict the event! I confess that there
is to me a quite new satisfaction in being associated (though only as
sleeping partner) in a book which can stand by itself in an independent
unity on the shelves of libraries. For there is always this drawback
from the pleasure of printing a sermon, that, whereas the queasy stomach
of this generation will not bear a discourse long enough to make a
separate volume, those religious and godly-minded children (those
Samuels, if I may call them so) of the brain must at first lie buried in
an undistinguished heap, and then get such resurrection as is
vouchsafed to them, mummy-wrapt with a score of others in a cheap
binding, with no other mark of distinction than the word
""_Miscellaneous_"" printed upon the back. Far be it from me to claim any
credit for the quite unexpected popularity which I am pleased to find
these bucolic strains have attained unto. If I know myself, I am
measurably free from the itch of vanity; yet I may be allowed to say
that I was not backward to recognize in them a certain wild, puckery,
acidulous (sometimes even verging toward that point which, in our rustic
phrase, is termed _shut-eye_) flavour, not wholly unpleasing, nor
unwholesome, to palates cloyed with the sugariness of tamed and
cultivated fruit. It may be, also, that some touches of my own, here and
there, may have led to their wider acceptance, albeit solely from my
larger experience of literature and authorship.[3]
"	Wilbur
"I was, at first, inclined to discourage Mr. Biglow's attempts, as
knowing that the desire to poetize is one of the diseases naturally
incident to adolescence, which, if the fitting remedies be not at once
and with a bold hand applied, may become chronic, and render one, who
might else have become in due time an ornament of the social circle, a
painful object even to nearest friends and relatives. But thinking, on a
further experience, that there was a germ of promise in him which
required only culture and the pulling up of weeds from around it, I
thought it best to set before him the acknowledged examples of English
compositions in verse, and leave the rest to natural emulation. With
this view, I accordingly lent him some volumes of Pope and Goldsmith, to
the assiduous study of which he promised to devote his evenings. Not
long afterwards he brought me some verses written upon that model, a
specimen of which I subjoin, having changed some phrases of less
elegancy, and a few rhymes objectionable to the cultivated ear. The poem
consisted of childish reminiscences, and the sketches which follow will
not seem destitute of truth to those whose fortunate education began in
a country village. And, first, let us hang up his charcoal portrait of
the school-dame.
"	Wilbur
"    ""Propt on the marsh, a dwelling now, I see
    The humble school-house of my A, B, C,
    Where well-drilled urchins, each behind his tire,
    Waited in ranks the wished command to fire;
    Then all together, when the signal came,
    Discharged their _a-b abs_ against the dame,
    Who, 'mid the volleyed learning, firm and calm,
    Patted the furloughed ferule on her palm,
    And, to our wonder, could detect at once,
    Who flashed the pan, and who was downright dunce.""
"	Wilbur
"    There young Devotion learned to climb with ease
    The gnarly limbs of Scripture family-trees,
    And he was most commended and admired
    Who soonest to the topmost twig perspired;
    Each name was called as many various ways
    As pleased the reader's ear on different days,
    So that the weather, or the ferule's stings,
    Colds in the head, or fifty other things,
    Transformed the helpless Hebrew thrice a week
    To guttural Pequot or resounding Greek,
    The vibrant accent skipping here and there,
    Just as it pleased invention or despair;
    No controversial Hebraist was the Dame;
    With or without the points pleased her the same;
    If any tyro found a name too tough,
    And looked at her, pride furnished skill enough;
    She nerved her larynx for the desperate thing,
    And cleared the five-barred syllables at a spring.
"	Wilbur
"    ""Ah, dear old times! there once it was my hap,
    Perched on a stool, to wear the long-eared cap;
    From books degraded, there I sat at ease,
    A drone, the envy of compulsory bees.""
"	Wilbur
"I add only one further extract, which will possess a melancholy interest
to all such as have endeavoured to glean the materials of Revolutionary
history from the lips of aged persons, who took a part in the actual
making of it, and, finding the manufacture profitable, continued the
supply in an adequate proportion to the demand.
"	Wilbur
"    ""Old Joe is gone, who saw hot Percy goad
    His slow artillery up the Concord road,
    A tale which grew in wonder, year by year,
    As, every time he told it, Joe drew near
    To the main fight, till, faded and grown gray,
    The original scene to bolder tints gave way;
    Then Joe had heard the foe's scared double-quick
    Beat on stove drum with one uncaptured stick,
    And, ere death came the lengthening tale to lop,
    Himself had fired, and seen a red-coat drop;
    Had Joe lived long enough, that scrambling fight
    Had squared more nearly to his sense of right,
    And vanquished Percy, to complete the tale,
    Had hammered stone for life in Concord jail.""
"	Wilbur
"I do not know that the foregoing extracts ought not to be called my own
rather than Mr. Biglow's, as, indeed, he maintained stoutly that my file
had left nothing of his in them. I should not, perhaps, have felt
entitled to take so great liberties with them, had I not more than
suspected an hereditary vein of poetry in myself, a very near ancestor
having written a Latin poem in the Harvard _Gratulatio_ on the accession
of George the Third. Suffice it to say, that, whether not satisfied with
such limited approbation as I could conscientiously bestow, or from a
sense of natural inaptitude, I know not, certain it is that my young
friend could never be induced to any further essays in this kind. He
affirmed that it was to him like writing in a foreign tongue,--that Mr.
Pope's versification was like the regular ticking of one of Willard's
clocks, in which one could fancy, after long listening, a certain kind
of rhythm or tune, but which yet was only a poverty-stricken _tick,
tick_ after all,--and that he had never seen a sweet-water on a trellis
growing so fairly, or in forms so pleasing to his eye, as a fox-grape
over a scrub-oak in a swamp. He added I know not what, to the effect
that the sweet-water would only be the more disfigured by having its
leaves starched and ironed out, and that Peg[=a]sus (so he called him)
hardly looked right with his mane and tail in curl-papers. These and
other such opinions I did not long strive to eradicate, attributing them
rather to a defective education and senses untuned by too long
familiarity with purely natural objects, than to a perverted moral
sense. I was the more inclined to this leniency since sufficient
evidence was not to seek, that his verses, as wanting as they certainly
were in classic polish and point, had somehow taken hold of the public
ear in a surprising manner. So, only setting him right as to the
quantity of the proper name Pegasus, I left him to follow the bent of
his natural genius.
"	Wilbur
"There are two things upon which it would seem fitting to dilate somewhat
more largely in this place,--the Yankee character and the Yankee
dialect. And, first, of the Yankee character, which has wanted neither
open maligners, nor even more dangerous enemies in the persons of those
unskilful painters who have given to it that hardness, angularity, and
want of proper perspective, which, in truth, belonged, not to their
subject, but to their own niggard and unskilful pencil.
"	Wilbur
