TOM!	Polly
What's gone with that boy, I wonder? You TOM!	Polly
Well, I lay if I get hold of you I'll--	Polly
I never did see the beat of that boy!	Polly
Y-o-u-u TOM!	Polly
There! I might 'a' thought of that closet. What you been doing in there?	Polly Nothing.	Tom Nothing! Look at your hands. And look at your mouth.	Polly What _is_ that truck?	Polly
I don't know, aunt.	Tom
Well, I know. It's jam--that's what it is. Forty times I've said if you didn't let that jam alone I'd skin you. Hand me that switch.	Polly My! Look behind you, aunt!	Tom Hang the boy, can't I never learn anything? Ain't he played me tricks enough like that for me to be looking out for him by this time? But old fools is the biggest fools there is. Can't learn an old dog new tricks, as the saying is. But my goodness, he never plays them alike, two days, and how is a body to know what's coming? He 'pears to know just how long he can torment me before I get my dander up, and he knows if he can make out to put me off for a minute or make me laugh, it's all down again and I can't hit him a lick. I ain't doing my duty by that boy, and that's the Lord's truth, goodness knows. Spare the rod and spile the child, as the Good Book says. I'm a laying up sin and suffering for us both, I know. He's full of the Old Scratch, but laws-a-me! he's my own dead sister's boy, poor thing, and I ain't got the heart to lash him, somehow. Every time I let him off, my conscience does hurt me so, and every time I hit him my old heart most breaks. Well-a-well, man that is born of woman is of few days and full of trouble, as the Scripture says, and I reckon it's so. He'll play hookey this evening, and I'll just be obleeged to make him work, tomorrow, to punish him. It's mighty hard to make him work Saturdays, when all the boys is having holiday, but he hates work more than he hates anything else, and I've _got_ to do some of my duty by him, or I'll be the ruination of the child.	Polly Tom, it was middling warm in school, warn't it?	Polly Yes'm.	Tom Powerful warm, warn't it?	Polly Yes'm.	Tom Didn't you want to go in a-swimming, Tom?	Polly No'm--well, not very much.	Tom But you ain't too warm now, though.	Polly Some of us pumped on our heads--mine's damp yet. See?	Tom Tom, you didn't have to undo your shirt collar where I sewed it, to pump on your head, did you?	Polly Unbutton your jacket!	Polly
Bother! Well, go 'long with you. I'd made sure you'd played hookey and been a-swimming. But I forgive ye, Tom. I reckon you're a kind of a singed cat, as the saying is--better'n you look. _This_ time.	Polly
Well, now, if I didn't think you sewed his collar with white thread, but it's black.	Sidney
Why, I did sew it with white! Tom!	Polly
Siddy, I'll lick you for that.	Tom
