Yas, suh. I lives des ober yander, behine de nex' san'-hill, on de Lumberton plank-road.	Julius
Lawd bless you, suh, I knows all about it. Dey ain' na'er a man in dis settlement w'at won' tell you ole Julius McAdoo 'uz bawn en raise' on dis yer same plantation.	Julius
Is you de Norv'n gemman w'at's gwine ter buy de ole vimya'd?	Julius
Well, suh, you is a stranger ter me, en I is a stranger ter you, en we is bofe strangers ter one anudder, but 'f I 'uz in yo' place, I wouldn' buy dis vimya'd.	Julius
Well, I dunno whe'r you b'lieves in cunj'in' er not, some er de w'ite folks don't, er says dey don't, but de truf er de matter is dat dis yer ole vimya'd is goophered.	Julius
Is goophered, cunju'd, bewitch'.	Julius
I wouldn' spec' fer you ter b'lieve me 'less you know all 'bout de fac's. 	Julius
But ef you en young miss dere doan' min' lis'nin' ter a ole nigger run on a minute er two w'ile you er restin', I kin 'splain to you how it all happen'.	Julius
Ole Mars Dugal' McAdoo, bought dis place long many years befo' de wah, en I'member well w'en he sot out all dis yer part er de plantation in scuppernon's. 	Julius
De vimes growed monst'us fas', en Mars Dugal' made a thousan' gallon er scuppernon' wine eve'y year.	Julius
Now, ef dey's an'thing a nigger lub, nex' ter 'possum, en chick'n, en watermillyums, it's scuppernon's. 	Julius
Dey ain' nuffin dat kin stan' up side'n de scuppernon' fer sweetness  sugar ain't a suckumstance ter scuppernon'. 	Julius
W'en de season is nigh 'bout ober, en de grapes begin ter swivel up des a little wid de wrinkles er ole age, w'en de skin git sof' en brown, den de scuppernon' make you smack yo' lip en roll yo' eye en wush fer mo'  so I reckon it ain' very 'stonishin' dat niggers lub scuppernon'.	Julius
Dey wuz a sight er niggers in de naberhood er de vimya'd. 	Julius
Dere wuz ole Mars Henry Brayboy's niggers, en ole Mars Jeems McLean's niggers, en Mars Dugal's own niggers  den dey wuz a settlement er free niggers en po' buckrahs down by de Wim'l'ton Road, en Mars Dugal' had de only vimya'd in de naberhood.	Julius
I reckon it ain' so much so nowadays, but befo' de wah, in slab'ry times, a nigger did n' mine goin' fi' er ten mile in a night, w'en dey wuz sump'n good ter eat at de yuther een'.	Julius
So atter a w'ile Mars Dugal' begin ter miss his scuppernon's.	Julius
Co'se he 'cuse' de niggers er it, but dey all 'nied it ter de las'. 	Julius
